Species,Other names,KEGG ID,Waite 2009,Magee 2017 LPSC,Postberg 2018,Waite 2017,Postberg 2009,Contains reactions
H2O,water,C00001,1,1,1,1,1,1
CO2,carbon dioxide,C00011,1,1,1,1,1,1
CH4,methane,C01438,1,1,1,1,1,1
NH3,ammonia,C00014,1,1,1,1,,1
H2,hydrogen,C00282,1,1,1,1,,1
CO,carbon monoxide,C00237,1,1,1,1,1,1
N2,nitrogen,C00697,1,1,1,1,1,1
C2H2,acetylene,C01548,1,1,1,,,1
HCN,hydrogen cyanide,C01326,1,1,1,,,1
C2H4,ethylene,C06547,1,1,1,,,1
CH2O,formaldehyde,C00067,1,1,1,,,1
C2H6,ethane,0,,1,1,,,0
NO,nitric oxide,C00533,,1,,,,1
C3H4,cyclopropene,0,,1,1,1,,0
CH5N,Methanamine,C00218,,1,,,,1
C3H6,propene,C11505,1,1,1,,,1
C2H3N,acetonitrile,0,,1,1,,,0
C3H8,propane,C20783,1,1,1,,,0
C2H7N,Dimethylamine,C00543,,1,,,,1
C4H8,Polybutene,C17390,,1,1,,,0
C2H6N2,azomethane,0,,1,,,,0
C4H10,butane,C21390,,1,,,,1
C4H9N,3-Buten-1-amine,C12244,,1,,,,0
C5H10,cyclopentane,0,,1,,,,0
C4H8N2,Dimethylaminoacetonitrile,0,,1,,,,0
C5H12,pentane,0,,1,,,,0
C6H12N4,Methenamine,0,,1,,,,0
C8H18,octane,C01387,,1,,,,1
O2,oxygen,C00007,,1,,1,,1
C2H7NO,Ethanolamine,C00189,,1,,,,1
CH3OH,methanol,C00132,1,1,1,1,,1
C2H5NO2,"2,5-Dihydroxypyridine",C01059,,1,,,,1
C2H2O,Ethenone,0,,1,,,,0
C3H7NO2,L-Alanine,C00041,,1,,,,1
C2H4O,ethylene oxide,C06548,1,1,,,,1
C2H6O,ethanol,C00469,1,1,,,,1
C3H6O,Propanal,C00479,,1,,,,1
C3H8O,Propanol,C05979,,1,,,,1
C2H4O2,Glycolaldehyde,C00266,,1,,,,1
Ar,argon,0,,1,,1,,0
C2H6O2,Ethylene glycol,C01380,,1,,,,1
H2S,hydrogen sulfide,C00283,1,1,,,,1
C4H10O,1-Butanol,C06142,,1,,,,1
PH3,phosphine,0,,1,,,,0
C4H6O2,diacetyl,C00741,,1,,,,1
C3H5Cl,Allyl chloride,C19316,,1,,,,0
(C2H4)n,polyethylene,C19503,,,,,,0
C6H6,benzene,C01407,1,,1,,,1
H3PO4,phosphate,C00009,,,,,,1
Na+,sodium cation,C01330,,,1,,1,0
K+,potassium cation,C00238,,,,,1,0
NaCl,sodium chloride,C13563,,,,,1,0
HCO3-,bicarbonate,C00288,,,,1,1,1
H2CO3 (indirect),carbonic acid,C01353,,,,,1,1
CO32-,carbonate,0,,,,,1,0
NaHCO3,sodium bicarbonate,C12603,,,,,1,0
Na2CO3,sodium carbonate,0,,,,,1,0
NaOH (indirect),sodium hydroxide,C12569,,,,,1,0
KCL,potassium chloride,0,,,,,1,0
KHCO3,potassium bicarbonate,C18606,,,,,1,0
K2CO3,potassium carbonate,0,,,,,1,0
KOH (indirect),potassium hydroxide,C12568,,,,,1,0
He,helium,0,,,,1,,0
MgO,magnesium oxide,C12567,,,,1,,0
SiO2,silica,C19572,,,,1,,0
H2O2,hydrogen peroxide,C00027,,,,1,,1
OH-,hydroxide ion,C01328,,,,1,,1
C2H3N,Acetonitrile,0,,,,,,0
C2H3+,Ethylenyl,0,,,1,,,0
